position,weight
Interception,3.13349944282111
JH602046.1_17350732,0.340413959535337
JH602046.1_17350737,0.283688962131435
JH602046.1_17350746,0.192866679191256
JH602053.1_207031,0.6921051400201
JH602064.1_2499248,1.42469946589314
JH602064.1_2499275,1.41423661179858
JH602064.1_2499643,1.6724483805175
JH602064.1_647076,1.55671246407107
JH602068.1_1985096,0.294263262619547
JH602084.1_1734225,0.561008129484959
JH602084.1_1734242,0.466545644883641
JH602099.1_7039920,-1.18155682534063
JH602117.1_7740776,0.345654429983919
JH602117.1_7740828,0.08805119597024311
JH602145.1_2487622,-0.432182313081193
JH602145.1_2487629,-1.14343376470149
JH602145.1_2487635,-0.691732464584787
JH602145.1_3955621,0.901274486815368
JH602171.1_2075844,0.392896860344944
JH602171.1_2075986,1.80007786105641
JH602171.1_2076005,0.765773360812423
JH602171.1_2076007,0.0220985075661511
JH602180.1_4488309,0.421601511949255
JH602197.1_2421533,3.80011310019519
JH602218.1_751022,0.0191395144606804
JH602239.1_273947,0.241583627785151
